ESTACIO,CODI_CONTAMINANT,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,DATA
4,7,1.0,1.0,3.0,1.0,1.0,2.0,13.0,58.0,131.0,148.0,31.0,18.0,15.0,9.0,7.0,6.0,8.0,7.0,7.0,8.0,3.0,1.0,1.0,1.0,2019-04-02
4,7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,6.0,5.0,7.0,7.0,8.0,6.0,3.0,6.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2019-04-03
4,7,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,9.0,16.0,13.0,10.0,6.0,10.0,8.0,5.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,2.0,2019-04-04
4,7,2.0,1.0,8.0,2.0,2.0,8.0,21.0,53.0,83.0,81.0,72.0,31.0,17.0,6.0,4.0,5.0,5.0,5.0,3.0,3.0,2.0,2.0,1.0,2.0,2019-04-05
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,6.0,7.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,6.0,2.0,2.0,1.0,3.0,2019-04-06
4,7,22.0,9.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2019-04-07
4,7,3.0,2.0,2.0,2.0,1.0,4.0,19.0,57.0,77.0,87.0,56.0,13.0,20.0,9.0,5.0,5.0,5.0,6.0,12.0,7.0,5.0,5.0,2.0,2.0,2019-04-08
4,7,2.0,6.0,3.0,2.0,1.0,2.0,9.0,32.0,58.0,57.0,6.0,6.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,6.0,8.0,3.0,3.0,3.0,2019-04-09
4,7,2.0,4.0,1.0,2.0,1.0,1.0,2.0,13.0,19.0,17.0,12.0,13.0,17.0,22.0,20.0,7.0,5.0,7.0,5.0,13.0,2.0,3.0,7.0,20.0,2019-04-10
4,7,10.0,6.0,4.0,2.0,1.0,1.0,3.0,11.0,12.0,10.0,11.0,8.0,6.0,5.0,4.0,7.0,5.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,2019-04-11
4,7,2.0,4.0,6.0,3.0,2.0,1.0,1.0,5.0,7.0,10.0,9.0,10.0,9.0,11.0,8.0,6.0,6.0,6.0,4.0,4.0,1.0,1.0,1.0,1.0,2019-04-12
4,7,1.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,12.0,11.0,6.0,6.0,5.0,3.0,5.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2019-04-13
4,7,3.0,8.0,23.0,5.0,4.0,2.0,1.0,5.0,9.0,11.0,9.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2019-04-14
4,7,1.0,1.0,1.0,2.0,1.0,2.0,11.0,19.0,17.0,17.0,3.0,3.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2019-04-15
4,7,1.0,1.0,2.0,1.0,1.0,3.0,3.0,9.0,24.0,23.0,12.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,6.0,2.0,2.0,1.0,1.0,1.0,2019-04-16
4,7,1.0,1.0,1.0,2.0,2.0,4.0,14.0,43.0,55.0,31.0,5.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,2019-04-17
4,7,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2019-04-18
4,7,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019-04-19
4,7,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2019-04-20
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2019-04-21
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2019-04-22
4,7,1.0,1.0,3.0,1.0,2.0,2.0,10.0,25.0,49.0,61.0,23.0,31.0,9.0,12.0,8.0,7.0,7.0,5.0,5.0,7.0,4.0,3.0,2.0,1.0,2019-04-23
4,7,3.0,2.0,3.0,1.0,1.0,2.0,3.0,7.0,7.0,9.0,8.0,12.0,12.0,12.0,7.0,7.0,9.0,6.0,6.0,5.0,4.0,2.0,2.0,2.0,2019-04-24
